abenteuer;przygoda
aberglaube;przesąd
alles;wszystko
apfel;jabłko
ausdrücklich;wyraźnie
befestigen;przymocowywać
befugt;uprawniony
begabt;uzdolniony
belag;osad
beruf;zawód
berühmt;słynny
bestellen;zamawiać
brot;chleb
buch;książka
campinganhänger;przyczepa kempingowa
chaussee;szosa
creme;krem
damals;wówczas
dezent;subtelny
duft;zapach
durch;przez
durchsichtig;przejrzysty
eigentlich;właściwy
einflussreich;wpływowy
einschlafen;zasypiać
entwurf;szkic
eule;sowa
fegen;zamiatać
fehler;błąd
fenster;okno
folgerung;wniosek
futter;podszewka
gabel;widelec
gehen;iść
geizig;skąpy
geldstrafe;grzywna
haar;włosy
hafer;owies
haltestelle;przystanek
hell;jasny
hund;pies
indirekt;pośredni
immer;zawsze
insel;wyspa
jacke;kurtka
jetzt;teraz
jemand;ktoś
juli;lipiec
kalt;zimny
kaputt;zepsuty
klang;dźwięk
kopf;głowa
korb;kosz
lachs;łosoś
lang;długi
lahm;kulawy
lebensmittelgeschäft;sklep spożywczy
lehne;oparcie
losgehen;wyjść
mappe;teczka
meer;morze
mehr;więcej
milz;śledziona
minze;mięta
modern;nowoczesny
mütze;czapka
nachname;nazwisko
nächst;najbliższy
nacht;noc
neuigkeit;nowina
nutzbar;użyteczny
obst;owoce
optiker;optyk
orange;pomarańcza
örtlich;miejscowy
pappe;tektura
pferd;koń
pilze;gdzyb
polar;polarny
puppe;lalka
quadrat;kwadrat
qualität;jakość
quelle;źródło
querstraβe;przecznica
rabe;kruk
rasch;szybki
ratlos;bezradny
ratte;szczur
schliefe;pętla
schlitten;sanki
schmutz;brud
schnee;śnieg
schule;szkoła
schuppe;łuska
skulptur;rzeźba
szene;scena
tag;dzień
teich;staw
topf;garnek
treffen;spotkanie
turm;wieża
u-bahn;metro
umreiβen;przewracać
umlegen;kłaść
uhr;zegar
vater;ojciec
verbrennen;opatrzeć (się)
verdammt;potępiony
verirren;zabłądzić
verkehren;obcować
waffe;broń
waschen;myć
wasser;woda
weiβ;biały
winter;zima
wirklich;rzeczywisty
wissen;wiedzieć
wurst;kiełbasa
zehn;dziesięć
zentrum;centrum
zeit;czas
zucht;hodowla
zucht;uprawa
zusagen;przyrzekać
zug;pociąg
zwiebel;cebula
